"sigmaA","sigmaB","size","mean_density","sd_density","se","ci_lower","ci_upper","log2_size","log2_density","log2_ci_lower","log2_ci_upper","sigma"
0.5,0.5,128,0.0578061422241475,0.0130185261547156,0.00184109762501076,0.0541063180277885,0.0615059664205066,7,-4.11263339453118,-4.20805912150532,-4.02312982309903,"sigma = 0.5"
0.5,0.5,256,0.0485682199037774,0.0108563945966502,0.00153532604770567,0.0454828666973885,0.0516535731101662,8,-4.36384357932528,-4.45853300239222,-4.27498803952236,"sigma = 0.5"
0.5,0.5,512,0.0394335756744196,0.0080439174507035,0.00113758171533945,0.0371475196290624,0.0417196317197768,9,-4.66443165574631,-4.75059030574882,-4.58312976725733,"sigma = 0.5"
0.5,0.5,1024,0.0334378728598716,0.00764604201692763,0.00108131363188136,0.0312648917616726,0.0356108539580707,10,-4.90237311604383,-4.99931266709368,-4.81153915743512,"sigma = 0.5"
0.5,0.5,2048,0.0254674625979182,0.00477738036563062,0.000675623610568976,0.0241097461204989,0.0268251790753374,11,-5.29520096317233,-5.37423973056492,-5.22026838784273,"sigma = 0.5"
0.5,0.5,4096,0.0204814024494789,0.00285496469454306,0.000403752979111916,0.0196700304607385,0.0212927744382194,12,-5.60954168353669,-5.66785699801887,-5.55349224526981,"sigma = 0.5"
0.5,0.5,8192,0.0159445546031545,0.00201218447966385,0.000284565858113727,0.0153726981013567,0.0165164111049523,13,-5.9707923920149,-6.02348579144528,-5.91995595601875,"sigma = 0.5"
0.5,0.5,16384,0.012686312618203,0.00201094586826983,0.000284390692010533,0.0121148081258686,0.0132578171105374,14,-6.30058339092468,-6.3670846341848,-6.23701293340783,"sigma = 0.5"
0.5,0.5,32768,0.0102583610891019,0.00148069543760836,0.000209401956960971,0.0098375521017867,0.010679170076417,15,-6.60705593032014,-6.66748491319925,-6.5490566563411,"sigma = 0.5"
0.5,0.5,65536,0.00767572814772791,0.000958134678492697,0.000135500705690436,0.00740342928495887,0.00794802701049694,16,-7.02548066834375,-7.07759059954202,-6.97518750922551,"sigma = 0.5"
0.5,0.5,131072,0.00593937390289365,0.000641352779047872,9.07009798395176e-05,0.00575710345982479,0.0061216443459625,17,-7.39547342683429,-7.44044114577311,-7.35186505476302,"sigma = 0.5"
0.75,0.75,16,0.0971583935859161,0.02222776665729,0.0031434809068004,0.0908413321972214,0.103475454974611,4,-3.36351755308205,-3.46050732630773,-3.27263950287222,"sigma = 0.75"
0.75,0.75,32,0.0578428556974052,0.0123759485597557,0.00175022343004382,0.0543256500329458,0.0613600613618647,5,-4.11171740998252,-4.20222265771383,-4.02655626419572,"sigma = 0.75"
