"sigmaA","sigmaB","size","mean_density","sd_density","se","ci_lower","ci_upper","log2_size","log2_density","log2_ci_lower","log2_ci_upper","sigma"
0.75,0.75,64,0.0378574337566477,0.00841883371497905,0.000841883371497905,0.0361869544996629,0.0395279130136326,6,-4.72327957144413,-4.78838649441898,-4.66098440371321,"sigma = 0.75"
0.75,0.75,128,0.024308521683171,0.00539749087726881,0.000539749087726881,0.0232375423937,0.0253795009726419,7,-5.36239403088807,-5.42739869262889,-5.30019248747406,"sigma = 0.75"
0.75,0.75,256,0.0155495574081986,0.00352020006556267,0.000352020006556267,0.0148510733438921,0.0162480414725051,8,-6.006982672704,-6.07328898589005,-5.94359036259935,"sigma = 0.75"
0.75,0.75,512,0.0103161241931248,0.00196545093804419,0.000196545093804419,0.00992613608624688,0.0107061123000026,9,-6.59895514320163,-6.65455205069926,-6.54542149901767,"sigma = 0.75"
0.75,0.75,1024,0.00675675946218076,0.00128944332243463,0.000128944332243463,0.00650090593233229,0.00701261299202923,10,-7.20945278797,-7.26514350605766,-7.15583217306159,"sigma = 0.75"
0.75,0.75,2048,0.00446029493029761,0.000725790380473353,7.25790380473353e-05,0.00431628237267425,0.00460430748792097,11,-7.80864517532147,-7.85599503514405,-7.76280010095615,"sigma = 0.75"
0.75,0.75,4096,0.0028921514185293,0.000467168090237694,4.67168090237694e-05,0.00279945513414031,0.00298484770291829,12,-8.43364119812592,-8.48063822597998,-8.38812696250193,"sigma = 0.75"
0.75,0.75,8192,0.00189270822567936,0.000396637549666551,3.96637549666551e-05,0.00181400673071095,0.00197140972064776,13,-9.04533225809449,-9.10660447579384,-8.98655663993077,"sigma = 0.75"
0.75,0.75,16384,0.00119749892378782,0.000168180753557351,1.68180753557351e-05,0.00116412821357391,0.00123086963400172,14,-9.70575992527406,-9.74653432358025,-9.66610631596637,"sigma = 0.75"
0.75,0.75,32768,0.000785630983115103,0.000117848548754404,1.17848548754404e-05,0.000762247274299268,0.000809014691930937,15,-10.313860552869,-10.3574532932019,-10.2715464769147,"sigma = 0.75"
0.75,0.75,65536,0.000496137445411543,6.78115483980609e-05,6.78115483980609e-06,0.000482682163027068,0.000509592727796019,16,-10.9769725324361,-11.016638864944,-10.9383676899605,"sigma = 0.75"
0.75,0.75,131072,0.000319603353628919,3.79877522520475e-05,3.79877522520475e-06,0.000312065759431802,0.000327140947826037,17,-11.6114298328655,-11.6458623094051,-11.5778000284803,"sigma = 0.75"
